"","nome","id","uf","populacao","pib","estado_id","codigo_ibg","Total_Julho","Perc_Sobre_Total_Julho","Extrema_Pobreza...4","Extrema_Pobreza_Perc...5","Pobreza...6","Pobreza_Perc...7","Baixa_renda_Perc...8","Baixa_renda__Perc","Acima_de_1/2_min...10","Acima_de_1/2_min_Perc...11","Total_Agosto","Perc_Sobre_Total_Agosto","Extrema_Pobreza...14","Extrema_Pobreza_Perc...15","Pobreza...16","Pobreza_Perc...17","Baixa_renda","Baixa_renda_Perc...19","Acima_de_1/2_min...20","Acima_de_1/2_min_Perc...21","lat","long"
"17","Lagoa Santa",1775,"MG","52520","846448","11","3137601",15559,1.14187958414124,5723,36.7825695738801,2599,16.7041583649335,4710,30.2718683720033,2527,16.2414036891831,15687,1.16122241106696,5782,36.8585452922802,2585,16.478612864155,4784,30.4965895327341,2536,16.1662523108306,-19.6279941716429,-43.8858319487307
"18","Mário Campos",1807,"MG","13192","85153","11","3140159",2039,0.149642809439166,898,44.0411966650319,180,8.82785679254537,496,24.3256498283472,465,22.8052967140755,5495,0.406764655371514,2559,46.5696087352138,612,11.1373976342129,1521,27.6797088262056,803,14.6132848043676,-20.0763689502267,-44.1758483643697
"19","Mateus Leme",1815,"MG","27856","415329","11","3140704",13091,0.960752338581718,5082,38.8205637460851,2084,15.9193338935146,4124,31.5025590100069,1801,13.7575433503934,13186,0.97608712388149,5138,38.9655695434552,2078,15.7591384802063,4151,31.4803579554072,1819,13.7949340209313,-20.0275907463913,-44.4370644618544
"20","Matozinhos",1821,"MG","33955","651035","11","3141108",13976,1.02570274876007,6294,45.034344590727,1523,10.8972524327418,4404,31.5111619919863,1755,12.5572409845449,14085,1.04263515394136,6302,44.7426340078097,1535,10.8981185658502,4461,31.6719914802982,1787,12.6872559460419,-19.5239277225588,-44.0515795064331
"21","Nova Lima",1865,"MG","80998","4163071","11","3144805",20794,1.52607777316234,6000,28.8544772530538,2950,14.1867846494181,7997,38.4582090987785,3847,18.5005289987496,21112,1.56280535108342,6064,28.7230011367942,2946,13.9541492989769,8147,38.5894278135657,3955,18.7334217506631,-20.0740137492794,-43.9039839014338
"22","Nova União",1871,"MG","5555","47484","11","3136603",2735,0.200722454054006,1497,54.7349177330896,265,9.68921389396709,649,23.7294332723949,324,11.8464351005484,2768,0.204899830039736,1511,54.5881502890173,272,9.82658959537572,662,23.9161849710983,323,11.6690751445087,-19.6354021419112,-43.5724337112988
"23","Pedro Leopoldo",1922,"MG","58740","1050218","11","3149309",15947,1.17035501820813,5114,32.068727660375,2403,15.0686649526557,5868,36.7968896971217,2562,16.0657176898476,16153,1.19571783043059,5181,32.0745372376648,2444,15.130316349904,5928,36.699065189129,2600,16.0960812233022,-19.6405437974686,-44.0530803280328
"24","Raposos",1973,"MG","15342","73718","11","3153905",3277,0.240499993394874,1368,41.74549893195,450,13.7320720170888,1051,32.0720170888007,408,12.4504119621605,3286,0.243244523667115,1372,41.7528910529519,449,13.6640292148509,1058,32.1972002434571,407,12.3858794887401,-19.9812526654192,-43.7831816131562
"25","Ribeirão das Neves",1982,"MG","296317","1926219","11","3154606",108510,7.96358080051197,52039,47.9577919085799,14159,13.0485669523546,30097,27.7366141369459,12215,11.2570270021196,109515,8.1067936729775,52548,47.9824681550473,14162,12.9315618864996,30387,27.7468839884947,12418,11.3390859699585,-19.7792366912323,-44.0719177896061
"26","Rio Acima",1984,"MG","9090","101068","11","3154804",3273,0.240206432218926,836,25.5423159181179,453,13.8405132905591,1307,39.9327833791628,677,20.6843874121601,3301,0.244354891243197,867,26.2647682520448,446,13.5110572553772,1312,39.7455316570736,676,20.4786428355044,-20.1060016909081,-43.7722522919837
"27","Rio Manso",1989,"MG","5276","42694","11","3155306",1708,0.125350622129522,747,43.7353629976581,369,21.6042154566745,368,21.5456674473068,224,13.1147540983607,1708,0.126433854663248,744,43.559718969555,377,22.0725995316159,367,21.4871194379391,220,12.8805620608899,-20.2670286227792,-44.3452883036509
"28","Sabará",2004,"MG","126269","1477868","11","3156700",38082,2.79484917560683,14241,37.3956199779423,6165,16.1887505908303,11724,30.7861982038758,5952,15.6294312273515,14543,1.07653837726441,5171,35.5566251804992,2031,13.9654816750327,3948,27.1470810699306,3393,23.3308120745376,-19.8511258628318,-43.7791456903672
"29","Santa Luzia",2020,"MG","202942","2099191","11","3157807",83970,6.16258298607493,49318,58.7328807907586,4762,5.67107300226271,20719,24.6742884363463,9171,10.9217577706324,84542,6.25817970781047,49453,58.4951858247971,4805,5.68356556504459,20991,24.8290790376381,9293,10.9921695725202,-19.7446933799914,-43.8367314912054
"30","São Joaquim de Bicas",2084,"MG","25537","364420","11","3162922",13954,1.02408816229236,7499,53.7408628350294,1616,11.5809087000143,3125,22.3950121828866,1714,12.2832162820697,5516,0.40831916997803,2784,50.4713560551124,562,10.188542422045,1064,19.2893401015228,1106,20.0507614213198,-20.0702799117096,-44.2487877197386
"31","São José da Lapa",2086,"MG","19799","318046","11","3162955",9457,0.694052010233543,5615,59.3740086708258,539,5.69948186528497,2225,23.5275457333192,1078,11.3989637305699,9515,0.704343165761594,5636,59.2327903310562,543,5.70677877036259,2242,23.562795585917,1094,11.4976353126642,-19.6962618482982,-43.9900158587091
"32","Sarzedo",2115,"MG","25814","331113","11","3165537",13067,0.958990971526034,3646,27.9023494298615,1487,11.3798117394964,4993,38.2107599295936,2941,22.5070789010484,13147,0.973200168183676,3684,28.0216018863619,1498,11.3942344261048,5014,38.1379782459877,2951,22.4461854415456,-20.0590950761156,-44.1210467252615
"33","Taquaraçu de Minas",2148,"MG","3794","37625","11","3168309",2122,0.155734203840074,1143,53.8642789820924,205,9.66069745523091,504,23.751178133836,270,12.7238454288407,2152,0.159300734915286,1133,52.6486988847584,204,9.47955390334572,533,24.7676579925651,282,13.1040892193309,-19.6337566468545,-43.6859102922777
"34","Vespasiano",2189,"MG","104527","1314176","11","3171204",43793,3.21398114456567,23961,54.7142237343868,3517,8.03096385267052,11457,26.1617153426347,4858,11.093097070308,44633,3.30393573488568,24363,54.5851724060673,3571,8.00080657809244,11683,26.1756995944705,5016,11.2383214213698,-19.7311449747702,-43.9449053863166
